01-29 17:53:17.597 I/PackageUpdatedTask( 2785): added, appInfo : AppInfo(id=572 type=APP hidden=0 container=all_apps screen=-1 rank=0 rankOfList=-1 user=UserHandle{0} title=ASC componentName=ComponentInfo{com.asc.markets/com.asc.markets.MainActivity} screenType=0)
01-29 17:56:38.981 D/ASC     (22105): DashboardScreen composed: activeTab=METHODOLOGY
01-29 17:56:38.991 D/ASC     (22105): Rendering tab=MARKET_PSYCHOLOGY lucide=lucide_binary active=false res=2131165344
01-29 17:56:38.994 D/ASC     (22105): Rendering tab=METHODOLOGY lucide=lucide_book_open active=true res=2131165345
01-29 17:56:38.997 D/ASC     (22105): Rendering tab=EXECUTION_LEDGER lucide=lucide_arrow_left_right active=false res=2131165343
01-29 17:56:39.805 D/ASC     (22105): Rendering tab=ANALYTICAL_QUALITY lucide=lucide_pie_chart active=false res=2131165348
01-29 17:56:39.924 D/ASC     (22105): Rendering tab=STRATEGY_SIGNALS lucide=lucide_list_filter active=false res=2131165347
01-29 17:56:40.074 D/ASC     (22105): Rendering tab=TECHNICAL_VITALS lucide=lucide_activity active=false res=2131165342
01-29 17:56:40.438 D/ASC     (22105): Rendering tab=MARKET_OVERVIEW lucide=lucide_line_chart active=false res=2131165346
01-29 17:56:42.015 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:43.313 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:43.693 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:43.862 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:44.009 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:44.142 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:44.523 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:44.707 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:44.905 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:45.124 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:45.277 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:45.426 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:45.573 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:49.518 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:50.136 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:50.682 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:56:51.134 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:57:19.890 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:57:20.820 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:57:22.214 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:57:22.686 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:57:22.885 D/ASC     (22105): GlobalHeader: menu icon clicked
01-29 17:57:23.018 D/ASC     (22105): GlobalHeader: menu icon clicked
